Squad,Year,Rank,# Pl.x,90s.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y,90s.y,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance
Manchester City,22/23,1,23,13,365,28.08,278,29,20,21,13,4,52,4,23,13,31,196,85,43.4,15.08,6.54,0.15000000000000002,0.33999999999999997,17.2,4,2,5,26.5,22.6,0.12000000000000001,4.5,6.4,0.07945205479452055,Overperformed
Inter,22/23,2,22,13,281,21.62,203,32,10,24,9,3,35,2.69,22,13,19,166,62,37.3,12.77,4.7700000000000005,0.11,0.29000000000000004,16.6,2,1,1,17.9,17.5,0.11,1.1,0.5,0.11387900355871886,Overperformed
Real Madrid,22/23,SF,22,12,335,27.919999999999998,257,22,24,15,13,4,45,3.75,22,12,26,184,74,40.2,15.33,6.17,0.13,0.31,17.6,5,3,3,22.3,20.5,0.12000000000000001,3.7,2.5,0.06567164179104477,Overperformed
Milan,22/23,SF,23,12,242,20.17,177,17,13,20,11,4,25,2.08,23,12,14,135,42,31.1,11.25,3.5,0.09,0.29000000000000004,17.5,3,2,3,16.5,14.1,0.11,-2.5,-2.1,0.07024793388429752,Underperformed
Bayern Munich,22/23,QF,24,10,302,30.2,238,12,24,15,9,4,39,3.9,24,10,21,167,72,43.1,16.7,7.2,0.12000000000000001,0.28,18.2,8,1,1,19.4,18.6,0.11,1.6,1.4,0.039735099337748346,Overperformed
Napoli,22/23,QF,22,10,315,31.5,221,27,22,21,12,12,47,4.7,22,10,26,167,63,37.7,16.7,6.3,0.13,0.35,16.7,2,4,8,25.2,19.1,0.12000000000000001,0.8,2.9,0.08571428571428572,Overperformed
Benfica,22/23,QF,24,10,254,25.4,195,12,18,10,16,3,47,4.7,24,10,25,133,48,36.1,13.3,4.8,0.15000000000000002,0.42000000000000004,17.3,6,5,5,19,15.1,0.12000000000000001,6,4.9,0.047244094488188976,Overperformed
Chelsea,22/23,QF,26,10,283,28.3,211,26,11,20,13,2,20,2,26,10,12,152,51,33.6,15.2,5.1,0.07,0.2,16.5,6,2,2,16.2,14.6,0.1,-4.2,-4.6,0.09187279151943463,Underperformed
Liverpool,22/23,R16,25,8,222,27.75,165,24,10,15,6,2,31,3.8699999999999997,25,8,19,126,55,43.7,15.75,6.87,0.14,0.32999999999999996,16,4,1,1,14.7,13.9,0.11,4.3,4.1,0.10810810810810811,Overperformed
Paris S-G,22/23,R16,21,8,179,22.37,138,11,9,7,13,1,28,3.5,21,8,15,99,41,41.4,12.38,5.119999999999999,0.14,0.33999999999999997,17.6,8,1,1,10.8,10,0.1,4.2,4,0.061452513966480445,Overperformed
Porto,22/23,R16,24,8,193,24.12,146,15,3,19,8,2,18,2.25,24,8,12,111,38,34.2,13.870000000000001,4.75,0.08,0.24000000000000002,16.5,1,3,3,15.2,12.9,0.12000000000000001,-3.2,-3.9,0.07772020725388601,Underperformed
RB Leipzig,22/23,R16,22,8,156,19.5,127,10,6,7,5,1,21,2.62,22,8,13,88,34,38.6,11,4.25,0.15000000000000002,0.38,15.8,3,0,0,11.7,11.7,0.13,1.3,1.3,0.0641025641025641,Overperformed
Dortmund,22/23,R16,26,8,169,21.12,130,8,16,10,4,1,21,2.62,26,8,11,97,27,27.8,12.12,3.38,0.11,0.41000000000000003,18.5,4,0,0,10.5,10.5,0.11,0.5,0.5,0.047337278106508875,Overperformed
Tottenham,22/23,R16,25,8,177,22.12,129,15,7,9,14,3,15,1.87,25,8,8,95,29,30.5,11.870000000000001,3.62,0.07,0.24000000000000002,17.3,4,1,2,10,8.4,0.09,-2,-1.4,0.0847457627118644,Underperformed
Club Brugge,22/23,R16,25,8,117,14.629999999999999,79,9,10,5,9,5,15,1.87,25,8,8,67,20,29.9,8.370000000000001,2.5,0.1,0.35,19.3,1,1,2,8,6.4,0.1,0,0.6,0.07692307692307693,Underperformed
Eint Frankfurt,22/23,R16,22,8,129,16.12,96,12,6,6,6,3,12,1.5,22,8,7,75,26,34.7,9.370000000000001,3.25,0.08,0.23,18.1,2,1,1,8,7.3,0.1,-1,-1.3,0.09302325581395349,Underperformed
Barcelona,22/23,GR,26,6,166,27.67,129,10,9,5,6,7,23,3.8299999999999996,26,6,12,90,33,36.7,15,5.5,0.13,0.36,16.7,2,0,0,9.9,9.9,0.11,2.1,2.1,0.060240963855421686,Overperformed
Sporting CP,22/23,GR,25,6,75,12.5,53,7,5,5,4,1,15,2.5,25,6,8,45,21,46.7,7.5,3.5,0.18,0.38,18.5,1,0,0,3.8,3.8,0.09,4.2,4.2,0.09333333333333334,Overperformed
Marseille,22/23,GR,19,6,139,23.17,97,19,5,9,8,1,11,1.83,19,6,8,79,23,29.1,13.17,3.8299999999999996,0.09,0.3,19,4,1,1,8.6,7.9,0.1,-0.6,-0.9,0.1366906474820144,Underperformed
Shakhtar,22/23,GR,20,6,80,13.33,70,4,0,3,1,2,14,2.3299999999999996,20,6,8,45,15,33.3,7.5,2.5,0.18,0.53,19.9,1,0,0,3.7,3.7,0.08,4.3,4.3,0.05,Overperformed
RB Salzburg,22/23,GR,19,6,134,22.330000000000002,99,9,7,11,5,3,9,1.5,19,6,5,84,27,32.1,14,4.5,0.05,0.15000000000000002,19.1,3,1,1,8.3,7.5,0.09,-3.3,-3.5,0.06716417910447761,Underperformed
Ajax,22/23,GR,19,6,110,18.330000000000002,93,8,2,4,2,1,20,3.3299999999999996,19,6,11,64,22,34.4,10.67,3.67,0.16,0.45,17.6,0,1,1,8.3,7.5,0.12000000000000001,2.7,2.5,0.07272727272727272,Overperformed
Atlético Madrid,22/23,GR,22,6,168,28,128,9,6,13,6,6,7,1.1700000000000002,22,6,4,95,34,35.8,15.83,5.67,0.04,0.12000000000000001,18.5,4,0,2,9.5,7.8,0.08,-5.5,-3.8,0.05357142857142857,Underperformed
Leverkusen,22/23,GR,20,6,143,23.830000000000002,111,7,9,9,3,4,8,1.33,20,6,4,81,27,33.3,13.5,4.5,0.05,0.15000000000000002,18.5,1,0,2,9,7.4,0.1,-5,-3.4,0.04895104895104895,Underperformed
Sevilla,22/23,GR,24,6,119,19.830000000000002,89,10,4,11,4,1,9,1.5,24,6,6,68,24,35.3,11.33,4,0.09,0.25,17.5,2,0,0,5.4,5.4,0.08,0.6,0.6,0.08403361344537816,Overperformed
Dinamo Zagreb,22/23,GR,20,6,100,16.67,88,5,0,4,3,0,8,1.33,20,6,4,55,20,36.4,9.17,3.3299999999999996,0.07,0.2,20.3,2,0,0,4.2,4.2,0.08,-0.2,-0.2,0.05,Underperformed
Juventus,22/23,GR,26,6,140,23.330000000000002,107,12,6,11,4,0,16,2.67,26,6,9,78,25,32.1,13,4.17,0.12000000000000001,0.36,16.8,0,0,0,8.6,8.6,0.13,0.4,0.4,0.08571428571428572,Overperformed
FC Copenhagen,22/23,GR,25,6,90,15,65,9,3,6,6,1,1,0.17,25,6,1,54,16,29.6,9,2.67,0.02,0.06,17.8,3,0,0,4.8,4.8,0.09,-3.8,-3.8,0.1,Underperformed
Maccabi Haifa,22/23,GR,20,6,140,23.330000000000002,101,8,12,8,6,5,13,2.17,20,6,7,76,21,27.6,12.67,3.5,0.08,0.29000000000000004,20.7,4,1,1,6.4,5.6,0.07,0.6,0.4,0.05714285714285714,Overperformed
Celtic,22/23,GR,22,6,141,23.5,109,10,8,8,3,3,5,0.8300000000000001,22,6,3,82,29,35.4,13.67,4.83,0.04,0.1,18.1,1,0,1,9.2,8.4,0.1,-6.2,-5.4,0.07092198581560284,Underperformed
Viktoria Plzeň,22/23,GR,22,6,112,18.67,79,11,5,7,7,3,10,1.6700000000000002,22,6,5,67,19,28.4,11.17,3.17,0.06,0.21000000000000002,18.9,0,1,1,5.5,4.8,0.07,-0.5,-0.8,0.09821428571428571,Underperformed
Rangers,22/23,GR,22,6,70,11.67,47,5,6,6,6,0,4,0.6699999999999999,22,6,2,43,10,23.3,7.17,1.6700000000000002,0.02,0.1,17.6,2,1,1,4.9,4.1,0.1,-2.9,-3.1,0.07142857142857142,Underperformed
Real Madrid,21/22,1,25,13.7,327,23.93,270,13,18,11,14,1,46,3.3699999999999997,25,13.7,28,179,66,36.9,13.1,4.83,0.14,0.38,18,9,3,3,21.6,19.2,0.11,6.4,5.8,0.039755351681957186,Overperformed
Liverpool,21/22,2,28,13,390,30,276,31,33,28,17,5,46,3.54,28,13,28,222,79,35.6,17.08,6.08,0.12000000000000001,0.33999999999999997,18,6,1,2,27.3,25.8,0.12000000000000001,0.7,1.2,0.07948717948717948,Overperformed
Manchester City,21/22,SF,26,12.3,348,28.22,273,19,17,18,16,5,51,4.14,26,12.3,28,190,65,34.2,15.41,5.2700000000000005,0.14,0.4,16.2,10,2,2,26.6,25.1,0.14,1.4,0.9,0.05459770114942529,Overperformed
Villarreal,21/22,SF,25,12,196,16.330000000000002,131,22,15,14,9,5,30,2.5,25,12,20,115,44,38.3,9.58,3.67,0.16,0.41000000000000003,15.5,2,2,2,19.4,18,0.17,0.6,0,0.11224489795918367,Overperformed
Bayern Munich,21/22,QF,24,10,342,34.2,261,16,30,18,12,5,54,5.4,24,10,30,186,66,35.5,18.6,6.6,0.15000000000000002,0.41000000000000003,18.4,9,3,4,26.3,23.3,0.13,3.7,3.7,0.04678362573099415,Overperformed
Chelsea,21/22,QF,24,10.3,298,28.84,229,29,12,15,11,2,39,3.77,24,10.3,21,166,54,32.5,16.06,5.23,0.11,0.35,17.2,8,2,2,19,17.4,0.11,2,1.6,0.09731543624161074,Overperformed
Benfica,21/22,QF,24,10,159,15.9,106,18,9,15,7,4,21,2.1,24,10,13,92,34,37,9.2,3.4,0.13,0.35,16.5,2,1,1,11.8,11,0.13,1.2,1,0.11320754716981132,Overperformed
Atlético Madrid,21/22,QF,22,10,154,15.4,113,9,10,13,6,3,15,1.5,22,10,9,95,25,26.3,9.5,2.5,0.08,0.32,17.9,4,1,1,12.2,11.4,0.13,-3.2,-3.4,0.05844155844155844,Underperformed
Ajax,21/22,R16,21,8,237,29.62,199,16,9,7,5,1,38,4.75,21,8,21,128,48,37.5,16,6,0.16,0.42000000000000004,15.6,1,1,1,19,18.2,0.14,2,1.8,0.06751054852320675,Overperformed
Juventus,21/22,R16,28,8,186,23.25,151,11,10,8,5,1,18,2.25,28,8,11,102,34,33.3,12.75,4.25,0.09,0.26,17.6,1,2,2,13.3,11.7,0.12000000000000001,-2.3,-2.7,0.05913978494623656,Underperformed
Paris S-G,21/22,R16,21,8,165,20.62,135,4,12,6,7,1,28,3.5,21,8,15,85,35,41.2,10.62,4.37,0.15000000000000002,0.37,17.2,2,2,4,14.5,11.3,0.14,0.5,1.7,0.024242424242424242,Overperformed
Inter,21/22,R16,22,8,224,28,168,24,7,15,7,3,16,2,22,8,9,133,38,28.6,16.62,4.75,0.07,0.24000000000000002,16.2,4,0,0,12.8,12.8,0.11,-3.8,-3.8,0.10714285714285714,Underperformed
Manchester Utd,21/22,R16,31,8,150,18.75,119,9,4,5,12,1,21,2.62,31,8,12,87,40,46,10.870000000000001,5,0.14,0.3,17.7,5,0,0,9.4,9.4,0.11,2.6,2.6,0.06,Overperformed
Lille,21/22,R16,23,8,149,18.62,94,15,10,14,15,1,13,1.62,23,8,8,88,20,22.7,11,2.5,0.07,0.3,19.1,8,2,2,10.5,8.9,0.1,-2.5,-2.9,0.10067114093959731,Underperformed
RB Salzburg,21/22,R16,21,8,137,17.12,94,9,9,13,11,1,16,2,21,8,10,84,34,40.5,10.5,4.25,0.08,0.21000000000000002,21.3,6,3,5,12.3,8.4,0.1,-2.3,-1.4,0.06569343065693431,Underperformed
Sporting CP,21/22,R16,27,8,136,17,97,18,7,7,4,3,24,3,27,8,14,75,30,40,9.370000000000001,3.75,0.16,0.4,17,0,2,3,12.2,9.8,0.13,1.8,2.2,0.1323529411764706,Overperformed
Dortmund,21/22,GR,23,6,154,25.67,111,9,21,7,6,0,18,3,23,6,10,83,27,32.5,13.83,4.5,0.1,0.3,17.3,3,2,2,11.5,9.9,0.12000000000000001,-1.5,-1.9,0.05844155844155844,Underperformed
RB Leipzig,21/22,GR,23,6,156,26,116,10,5,10,12,3,27,4.5,23,6,15,87,31,35.6,14.5,5.17,0.15000000000000002,0.42000000000000004,17.3,3,2,3,13.4,11.1,0.13,1.6,1.9,0.0641025641025641,Overperformed
Sheriff Tiraspol,21/22,GR,19,6,88,14.67,63,9,4,4,6,2,13,2.17,19,6,7,54,21,38.9,9,3.5,0.13,0.32999999999999996,21,3,0,0,4.4,4.4,0.08,2.6,2.6,0.10227272727272728,Overperformed
Barcelona,21/22,GR,23,6,116,19.330000000000002,90,13,5,3,4,1,2,0.32999999999999996,23,6,2,60,11,18.3,10,1.83,0.03,0.18,16.8,0,0,0,6.5,6.5,0.11,-4.5,-4.5,0.11206896551724138,Underperformed
Sevilla,21/22,GR,22,6,121,20.17,81,16,8,6,10,0,9,1.5,22,6,5,69,20,29,11.5,3.3299999999999996,0.04,0.15000000000000002,18.6,5,2,2,7.2,5.6,0.08,-2.2,-2.6,0.1322314049586777,Underperformed
Atalanta,21/22,GR,21,6,152,25.330000000000002,119,11,7,8,4,3,23,3.8299999999999996,21,6,12,82,31,37.8,13.67,5.17,0.15000000000000002,0.39,18,3,0,0,10.2,10.2,0.13,1.8,1.8,0.07236842105263158,Overperformed
Zenit,21/22,GR,21,6,143,23.830000000000002,111,13,4,6,7,2,17,2.8299999999999996,21,6,9,79,25,31.6,13.17,4.17,0.1,0.32,17.9,3,1,2,9.8,8.3,0.11,-0.8,-0.3,0.09090909090909091,Underperformed
Young Boys,21/22,GR,24,6,129,21.5,95,11,8,8,2,5,11,1.83,24,6,7,82,25,30.5,13.67,4.17,0.09,0.28,18.8,0,0,0,7.4,7.4,0.09,-0.4,-0.4,0.08527131782945736,Underperformed
Wolfsburg,21/22,GR,21,6,69,11.5,49,11,1,1,7,0,7,1.1700000000000002,21,6,5,42,11,26.2,7,1.83,0.12000000000000001,0.45,18.2,3,0,0,4.8,4.8,0.12000000000000001,0.2,0.2,0.15942028985507245,Overperformed
Porto,21/22,GR,22,6,104,17.330000000000002,73,15,6,4,5,1,7,1.1700000000000002,22,6,4,64,17,26.6,10.67,2.8299999999999996,0.05,0.18,16.5,0,1,1,8,7.2,0.11,-4,-4.2,0.14423076923076922,Underperformed
Milan,21/22,GR,23,6,80,13.33,51,9,5,4,11,0,9,1.5,23,6,5,48,16,33.3,8,2.67,0.1,0.31,18.9,5,0,0,5.8,5.8,0.13,-0.8,-0.8,0.1125,Underperformed
Club Brugge,21/22,GR,21,6,106,17.67,77,5,11,6,5,2,9,1.5,21,6,5,61,26,42.6,10.17,4.33,0.08,0.19,16.6,3,0,0,6.1,6.1,0.1,-1.1,-1.1,0.04716981132075472,Underperformed
Shakhtar,21/22,GR,25,6,144,24,108,10,14,9,1,2,4,0.6699999999999999,25,6,2,79,20,25.3,13.17,3.3299999999999996,0.03,0.1,19.2,1,0,0,6.8,6.8,0.09,-4.8,-4.8,0.06944444444444445,Underperformed
Dynamo Kyiv,21/22,GR,23,6,84,14,58,9,5,4,7,1,2,0.32999999999999996,23,6,1,48,17,35.4,8,2.8299999999999996,0.02,0.06,17.6,2,0,0,4.3,4.3,0.09,-3.3,-3.3,0.10714285714285714,Underperformed
Malmö,21/22,GR,21,6,62,10.33,43,4,5,3,3,4,2,0.32999999999999996,21,6,1,36,7,19.4,6,1.1700000000000002,0.03,0.14,21.3,1,0,0,1.6,1.6,0.05,-0.6,-0.6,0.06451612903225806,Underperformed
Beşiktaş,21/22,GR,26,6,86,14.33,55,12,5,7,6,1,5,0.8300000000000001,26,6,3,48,11,22.9,8,1.83,0.04,0.18,16,1,1,1,6.2,5.4,0.11,-3.2,-3.4,0.13953488372093023,Underperformed
Chelsea,20/21,W,24,13,263,20.23,210,13,16,10,11,3,42,3.23,24,13,23,140,52,37.1,10.77,4,0.13,0.35,16.5,2,5,6,26,21.3,0.16,-3,-3.3,0.049429657794676805,Underperformed
Manchester City,20/21,F,25,13,292,22.459999999999997,221,13,26,16,10,6,43,3.3099999999999996,25,13,24,167,71,42.5,12.850000000000001,5.46,0.13,0.31,17.1,7,2,2,22.5,21,0.13,1.5,1,0.04452054794520548,Overperformed
Real Madrid,20/21,SF,25,12,282,23.5,222,19,11,16,10,4,32,2.67,25,12,18,161,61,37.9,13.42,5.08,0.1,0.26,17.9,2,2,2,19.2,17.6,0.11,-1.2,-1.6,0.0673758865248227,Underperformed
Paris S-G,20/21,SF,23,12,247,20.58,174,15,30,14,13,1,37,3.08,23,12,21,140,47,33.6,11.67,3.92,0.13,0.38,17.4,6,3,4,21.4,18.3,0.13,-0.4,-0.3,0.06072874493927125,Underperformed
Bayern Munich,20/21,QF,26,10,293,29.3,210,21,24,14,15,9,45,4.5,26,10,25,162,57,35.2,16.2,5.7,0.14,0.39,18.1,8,3,3,21.8,19.4,0.12000000000000001,3.2,2.6,0.07167235494880546,Overperformed
Liverpool,20/21,QF,29,10,182,18.2,137,19,16,5,4,1,22,2.2,29,10,14,109,43,39.4,10.9,4.3,0.12000000000000001,0.3,16.2,1,1,1,14.7,14,0.13,-0.7,-1,0.1043956043956044,Underperformed
Porto,20/21,QF,26,10.3,134,12.97,86,19,11,7,10,1,24,2.32,26,10.3,15,79,35,44.3,7.6499999999999995,3.3899999999999997,0.14,0.31,18.7,1,4,4,12.5,9.4,0.13,2.5,1.6,0.1417910447761194,Overperformed
Dortmund,20/21,QF,26,10,213,21.3,162,12,8,16,12,3,32,3.2,26,10,19,118,49,41.5,11.8,4.9,0.14,0.35,17.9,5,2,2,14.4,12.8,0.11,4.6,4.2,0.056338028169014086,Overperformed
Juventus,20/21,R16,22,8.3,214,25.68,164,18,13,10,8,1,30,3.6,22,8.3,17,122,48,39.3,14.639999999999999,5.76,0.12000000000000001,0.31,17.7,3,2,2,15.8,14.3,0.12000000000000001,1.2,0.7,0.08411214953271028,Overperformed
Barcelona,20/21,R16,27,8,266,33.25,211,9,17,7,19,3,35,4.37,27,8,18,137,55,40.1,17.12,6.87,0.09,0.22,18.5,8,6,7,20.4,15.4,0.11,-2.4,-3.4,0.03383458646616541,Underperformed
Sevilla,20/21,R16,25,8,225,28.130000000000003,158,30,9,9,18,1,21,2.62,25,8,13,128,49,38.3,16,6.119999999999999,0.09,0.24000000000000002,17.6,6,1,1,12.1,11.3,0.09,0.9,0.7,0.13333333333333333,Overperformed
RB Leipzig,20/21,R16,20,8,184,23,147,17,6,10,3,1,20,2.5,20,8,11,99,30,30.3,12.38,3.75,0.1,0.32999999999999996,17,0,1,1,10.6,9.8,0.1,0.4,0.2,0.09239130434782608,Overperformed
Atalanta,20/21,R16,25,8,151,18.87,117,12,8,7,6,1,21,2.62,25,8,11,91,41,45.1,11.370000000000001,5.119999999999999,0.12000000000000001,0.27,17.2,3,0,0,11.7,11.7,0.13,-0.7,-0.7,0.07947019867549669,Underperformed
Lazio,20/21,R16,25,8,167,20.87,122,11,11,11,10,2,23,2.8699999999999997,25,8,12,89,35,39.3,11.12,4.37,0.1,0.26,18.1,3,3,3,13.1,10.7,0.12000000000000001,-1.1,-1.7,0.0658682634730539,Underperformed
